# Optical absorption spectrum of Anthracene in cyclohexane
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by R.-C. A. Fuh on 06-26-1995 using a Cary 3.  
# The absorption values were collected using a spectral bandwidth of 1.0 nm, a signal averaging time of 0.133 sec, a data interval of 0.25 nm, and a scan rate of 112.5 nm/min.
#
# These measurements were scaled to make the molar extinction coefficient match
# the value of 9700 cm-1/M at 356.2 nm.  These values were 
# then interpolated to report extinction coefficients at regular 1nm intervals
#
# The reported molar extinction coefficient is from
# Berlman, I. B. (1971) “Handbook of Fluorescence Spectra of Aromatic Molecules,” Academic Press, N.Y.
#
##Wavelength (nm)	Molar Extinction (cm-1/M) 
258.75	9934
259	8768
259.25	7758
259.5	6856
259.75	6123
260	5465
260.25	4931
260.5	4443
260.75	4043
261	3683
261.25	3385
261.5	3106
261.75	2881
262	2649
262.25	2459
262.5	2304
262.75	2162
263	2029
263.25	1906
263.5	1798
263.75	1701
264	1610
264.25	1515
264.5	1458
264.75	1383
265	1310
265.25	1265
265.5	1198
265.75	1141
266	1099
266.25	1045
266.5	1019
266.75	977
267	957
267.25	909
267.5	878
267.75	847
268	820
268.25	794
268.5	761
268.75	736
269	715
269.25	697
269.5	682
269.75	656
270	642
270.25	622
270.5	603
270.75	593
271	579
271.25	571
271.5	552
271.75	543
272	505
272.25	484
272.5	496
272.75	477
273	486
273.25	460
273.5	456
273.75	443
274	426
274.25	423
274.5	430
274.75	404
275	403
275.25	399
275.5	376
275.75	366
276	367
276.25	360
276.5	355
276.75	343
277	350
277.25	332
277.5	331
277.75	327
278	337
278.25	342
278.5	318
278.75	336
279	309
279.25	328
279.5	317
279.75	329
280	316
280.25	320
280.5	316
280.75	315
281	314
281.25	307
281.5	306
281.75	311
282	317
282.25	311
282.5	319
282.75	311
283	299
283.25	305
283.5	305
283.75	293
284	305
284.25	313
284.5	305
284.75	299
285	300
285.25	293
285.5	282
285.75	291
286	287
286.25	284
286.5	288
286.75	286
287	300
287.25	300
287.5	289
287.75	284
288	310
288.25	304
288.5	315
288.75	314
289	310
289.25	320
289.5	321
289.75	346
290	331
290.25	362
290.5	350
290.75	378
291	385
291.25	385
291.5	389
291.75	406
292	426
292.25	429
292.5	460
292.75	461
293	492
293.25	483
293.5	488
293.75	509
294	519
294.25	532
294.5	538
294.75	546
295	544
295.25	544
295.5	568
295.75	561
296	585
296.25	585
296.5	589
296.75	601
297	596
297.25	575
297.5	605
297.75	573
298	590
298.25	581
298.5	594
298.75	598
299	578
299.25	580
299.5	584
299.75	605
300	622
300.25	620
300.5	623
300.75	640
301	643
301.25	652
301.5	687
301.75	689
302	718
302.25	747
302.5	766
302.75	790
303	810
303.25	840
303.5	876
303.75	899
304	950
304.25	971
304.5	998
304.75	1020
305	1062
305.25	1100
305.5	1133
305.75	1163
306	1194
306.25	1250
306.5	1262
306.75	1303
307	1326
307.25	1350
307.5	1384
307.75	1409
308	1431
308.25	1459
308.5	1469
308.75	1491
309	1500
309.25	1507
309.5	1507
309.75	1483
310	1451
310.25	1471
310.5	1452
310.75	1428
311	1372
311.25	1397
311.5	1403
311.75	1400
312	1365
312.25	1414
312.5	1388
312.75	1332
313	1364
313.25	1333
313.5	1309
313.75	1356
314	1365
