# Emission spectrum of  in cyclohexane
#
# Data from PhotochemCAD 2.1a has been munged on  2 June 2017 by Scott Prahl to make
# the information available to non-Windows users.  Although I have tried to be as careful
# as possible, I may have introduced some error; the cautious user is advised to compare
# these results with the original sources at www.photochemcad.com:
#
# H. Du, R. A. Fuh, J. Li, A. Corkan, J. S. Lindsey, "PhotochemCAD: A computer-aided design
#     and research tool in photochemistry," Photochem. Photobiol., 68, 141-142, 1998. 
# J. M. Dixon, M. Taniguchi and J. S. Lindsey "PhotochemCAD 2. A refined program with accompanying 
#     spectral databases for photochemical calculations", Photochem. Photobiol., 81, 212-213, 2005.
#
# The spectral absorption measurements were made by  on on 06-26-1995 
# using a Spex FluoroMax.   The excitation and emission monochromators were set at 1 mm, giving a spectral bandwidth of 4.25 nm.  The data interval was 0.5 nm and the integration time was 2.0 sec. Samples were prepared in 1cm pathlength quartz cells with absorbance less than 0.1 at the excitation and all emission wavelengths to uniformly illuminate across the sample, and to avoid the inner-filter effect.  The dark counts were subtracted and the spectra were corrected for wavelength-dependent instrument sensitivity.
#
##Wavelength (nm)	Emission (AU)
360	12278
360.5	12010
361	12947
361.5	14717
362	15965
362.5	18350
363	20243
363.5	25391
364	28532
364.5	37496
365	45676
365.5	64488
366	76754
366.5	100215
367	119259
367.5	153664
368	173668
368.5	210646
369	243976
369.5	322778
370	381789
370.5	516466
371	640904
371.5	909040
372	1084956
372.5	1367229
373	1576096
373.5	1867891
374	1991253
374.5	2142392
375	2188145
375.5	2169947
376	2119233
376.5	1981565
377	1878321
377.5	1705462
378	1620992
378.5	1503500
379	1439594
379.5	1359090
380	1315964
380.5	1247804
381	1193214
381.5	1077579
382	1015838
382.5	899011
383	831727
383.5	728178
384	686894
384.5	629959
385	600098
385.5	572743
386	568580
386.5	563753
387	568048
387.5	591295
388	609407
388.5	655284
389	702256
389.5	795633
390	857744
390.5	972587
391	1077272
391.5	1249132
392	1352277
392.5	1521261
393	1646834
393.5	1848325
394	1952681
394.5	2101013
395	2185521
395.5	2288127
396	2316505
396.5	2335542
397	2324242
397.5	2274595
398	2230664
398.5	2142813
399	2069196
399.5	1931829
400	1858800
400.5	1725909
401	1639351
401.5	1507159
402	1439500
402.5	1329558
403	1259751
403.5	1152409
404	1099099
404.5	1005332
405	948631
405.5	858575
406	820101
406.5	744370
407	702787
407.5	644797
408	621242
408.5	587429
409	570202
409.5	552724
410	550603
410.5	552586
411	558466
411.5	577842
412	591178
412.5	619585
413	645665
413.5	690470
414	715091
414.5	763269
415	798706
415.5	855408
416	885752
416.5	933138
417	969101
417.5	1012725
418	1035679
418.5	1064859
419	1079857
419.5	1095693
420	1100391
420.5	1098705
421	1090480
421.5	1067651
422	1052267
422.5	1017858
423	992380
423.5	940842
424	914484
424.5	861485
425	826628
425.5	768258
426	736997
426.5	683067
427	649364
427.5	594678
428	566658
428.5	522257
429	494377
429.5	452648
430	433476
430.5	398996
431	378712
431.5	348591
432	335635
432.5	314726
433	300932
433.5	283034
434	276119
434.5	264958
435	259297
435.5	252436
436	249976
436.5	249824
437	249069
437.5	251349
438	252454
438.5	257110
439	261380
439.5	267724
440	271616
440.5	278566
441	283968
441.5	292172
442	296612
442.5	304716
443	309726
443.5	316340
444	319233
444.5	323318
445	325228
445.5	326765
446	328004
446.5	326620
447	325430
447.5	321697
448	317378
448.5	310851
449	304970
449.5	293899
450	287285
450.5	274841
451	267136
451.5	251076
452	242529
452.5	227981
453	218139
453.5	202144
454	195065
454.5	180511
455	171425
455.5	158161
456	152531
456.5	142230
457	134717
457.5	125015
458	119827
458.5	112056
459	107198
459.5	100261
460	97449
460.5	92374
461	89123
461.5	85247
462	82909
462.5	79844
463	77909
